lakeid,year4,sampledate,towdepth
"MO",1986,1986-08-27,21.4
"MO",1986,1986-09-15,21.5
"MO",1986,1986-10-14,21.4
"MO",1986,1986-11-11,21.9
"MO",1986,1986-12-09,21.0
"MO",1987,1987-01-20,21.3
"MO",1987,1987-02-23,20.8
"MO",1987,1987-03-24,21.5
"MO",1987,1987-04-06,20.0
"MO",1987,1987-04-23,18.2
"MO",1987,1987-05-05,21.4
"MO",1987,1987-05-19,21.5
"MO",1987,1987-06-01,20.0
"MO",1987,1987-06-16,21.1
"MO",1987,1987-06-29,21.0
"MO",1987,1987-07-06,21.3
"MO",1987,1987-07-13,21.0
"MO",1987,1987-07-29,18.3
"MO",1987,1987-08-03,21.5
"MO",1987,1987-08-10,21.0
"MO",1987,1987-08-24,21.2
"MO",1987,1987-09-08,21.5
"MO",1987,1987-09-22,17.8
"MO",1987,1987-10-05,19.0
"MO",1987,1987-10-19,19.0
"MO",1987,1987-11-02,20.0
"MO",1987,1987-11-16,17.5
"MO",1987,1987-11-30,19.5
"MO",1987,1987-12-14,20.0
"MO",1988,1988-01-25,20.4
"MO",1988,1988-04-12,20.4
"MO",1988,1988-04-25,21.0
"MO",1988,1988-05-11,21.1
"MO",1988,1988-05-25,21.2
"MO",1988,1988-06-06,21.0
"MO",1988,1988-06-20,21.2
"MO",1988,1988-07-05,20.5
"MO",1988,1988-07-19,20.3
"MO",1988,1988-08-01,21.0
"MO",1988,1988-08-16,21.0
"MO",1988,1988-08-30,21.1
"MO",1988,1988-09-11,21.0
"MO",1988,1988-09-26,18.5
"MO",1988,1988-10-12,20.1
"MO",1988,1988-10-26,21.1
"MO",1988,1988-11-07,21.2
"MO",1988,1988-11-22,18.5
"MO",1988,1988-12-05,20.2
"MO",1989,1989-01-23,20.5
"MO",1989,1989-04-10,21.0
"MO",1989,1989-04-24,20.0
"MO",1989,1989-05-08,21.3
"MO",1989,1989-05-22,22.0
"MO",1989,1989-06-05,21.5
"MO",1989,1989-06-19,17.3
"MO",1989,1989-07-05,21.0
"MO",1989,1989-07-17,21.0
"MO",1989,1989-07-31,20.5
"MO",1989,1989-08-14,21.0
"MO",1989,1989-08-31,21.5
"MO",1989,1989-09-11,21.4
"MO",1989,1989-09-25,21.5
"MO",1989,1989-10-09,20.5
"MO",1989,1989-10-23,21.8
"MO",1989,1989-11-06,21.0
"MO",1989,1989-11-20,20.5
"MO",1989,1989-12-06,20.0
"MO",1990,1990-01-23,21.6
"MO",1990,1990-03-26,20.4
"MO",1990,1990-04-09,20.4
"MO",1990,1990-04-23,20.1
"MO",1990,1990-05-07,20.5
"MO",1990,1990-05-21,21.3
"MO",1990,1990-06-04,21.0
"MO",1990,1990-06-19,19.1
"MO",1990,1990-07-02,20.5
"MO",1990,1990-07-16,21.0
"MO",1990,1990-07-29,19.0
"MO",1990,1990-08-13,21.5
"MO",1990,1990-08-27,21.5
"MO",1990,1990-09-10,20.6
"MO",1990,1990-09-24,21.5
"MO",1990,1990-10-11,20.1
"MO",1990,1990-10-23,19.5
"MO",1990,1990-11-06,19.9
"MO",1990,1990-11-19,20.5
"MO",1991,1991-01-29,20.9
"MO",1991,1991-04-08,21.0
"MO",1991,1991-04-22,20.9
"MO",1991,1991-05-07,19.5
"MO",1991,1991-05-20,21.0
"MO",1991,1991-06-03,21.6
"MO",1991,1991-06-17,21.3
"MO",1991,1991-07-01,21.5
"MO",1991,1991-07-15,21.4
"MO",1991,1991-07-29,18.3
"MO",1991,1991-08-12,21.5
"MO",1991,1991-08-29,21.5
"MO",1991,1991-09-12,18.6
"MO",1991,1991-09-23,20.3
"MO",1991,1991-10-07,19.5
"MO",1991,1991-10-22,21.5
"MO",1991,1991-11-04,19.5
"MO",1991,1991-11-18,21.0
"MO",1991,1991-12-03,20.0
"MO",1992,1992-01-21,20.2
"MO",1992,1992-03-30,20.6
"MO",1992,1992-04-13,20.0
"MO",1992,1992-04-27,18.6
"MO",1992,1992-05-11,20.8
"MO",1992,1992-05-26,21.2
"MO",1992,1992-06-08,21.5
"MO",1992,1992-06-22,17.0
"MO",1992,1992-07-07,20.2
"MO",1992,1992-07-21,21.7
"MO",1992,1992-08-03,21.0
"MO",1992,1992-08-17,21.1
"MO",1992,1992-08-31,20.5
"MO",1992,1992-09-14,21.4
"MO",1992,1992-09-30,18.5
"MO",1992,1992-10-12,18.0
