lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
TB,1,2000,94,2000-04-03,95,2000-04-04,322,2000-11-17,325,2000-11-20
TB,1,2001,110,2001-04-20,113,2001-04-23,340,2001-12-06,341,2001-12-07
TB,1,2002,112,2002-04-22,114,2002-04-24,317,2002-11-13,318,2002-11-14
TB,1,2003,112,2003-04-22,113,2003-04-23,311,2003-11-07,314,2003-11-10
TB,1,2004,110,2004-04-19,112,2004-04-21,328,2004-11-23,329,2004-11-24
TB,1,2005,103,2005-04-13,105,2005-04-15,325,2005-11-21,326,2005-11-22
TB,1,2006,102,2006-04-12,103,2006-04-13,333,2006-11-29,334,2006-11-30
TB,1,2007,106,2007-04-16,108,2007-04-18,319,2007-11-15,320,2007-11-16
TB,1,2008,120,2008-04-29,121,2008-04-30,322,2008-11-17,324,2008-11-19
TB,1,2009,110,2009-04-20,112,2009-04-22,334,2009-11-30,335,2009-12-01
TB,1,2010,88,2010-03-29,90,2010-03-31,327,2010-11-23,331,2010-11-27
TB,1,2011,119,2011-04-29,121,2011-05-01,322,2011-11-17,323,2011-11-18
TB,1,2012,,,,,328,2012-11-23,331,2012-11-26
TR,2,1981,,,,,349,1981-12-15,354,1981-12-20
TR,2,1982,123,1982-05-03,124,1982-05-04,344,1982-12-10,347,1982-12-13
TR,2,1983,121,1983-05-01,122,1983-05-02,336,1983-12-02,337,1983-12-03
TR,2,1984,116,1984-04-25,117,1984-04-26,349,1984-12-14,353,1984-12-18
TR,2,1985,113,1985-04-23,114,1985-04-24,337,1985-12-03,338,1985-12-04
TR,2,1986,104,1986-04-14,105,1986-04-15,340,1986-12-06,341,1986-12-07
TR,2,1987,105,1987-04-15,106,1987-04-16,355,1987-12-21,356,1987-12-22
TR,2,1988,117,1988-04-26,118,1988-04-27,345,1988-12-10,347,1988-12-12
TR,2,1989,122,1989-05-02,123,1989-05-03,334,1989-11-30,335,1989-12-01
TR,2,1990,110,1990-04-20,113,1990-04-23,347,1990-12-13,348,1990-12-14
TR,2,1991,115,1991-04-25,116,1991-04-26,333,1991-11-29,336,1991-12-02
TR,2,1992,120,1992-04-29,121,1992-04-30,342,1992-12-07,344,1992-12-09
TR,2,1993,126,1993-05-06,127,1993-05-07,331,1993-11-27,334,1993-11-30
TR,2,1994,112,1994-04-22,115,1994-04-25,343,1994-12-09,346,1994-12-12
TR,2,1995,120,1995-04-30,122,1995-05-02,331,1995-11-27,333,1995-11-29
TR,2,1996,137,1996-05-16,138,1996-05-17,331,1996-11-26,332,1996-11-27
TR,2,1997,120,1997-04-30,121,1997-05-01,353,1997-12-19,356,1997-12-22
TR,2,1998,100,1998-04-10,101,1998-04-11,359,1998-12-25,362,1998-12-28
TR,2,1999,112,1999-04-22,113,1999-04-23,351,1999-12-17,354,1999-12-20
TR,2,2000,96,2000-04-05,98,2000-04-07,341,2000-12-06,342,2000-12-07
TR,2,2001,112,2001-04-22,113,2001-04-23,363,2001-12-29,365,2001-12-31
TR,2,2002,113,2002-04-23,114,2002-04-24,336,2002-12-02,337,2002-12-03
TR,2,2003,117,2003-04-27,118,2003-04-28,335,2003-12-01,337,2003-12-03
TR,2,2004,110,2004-04-19,112,2004-04-21,351,2004-12-16,352,2004-12-17
TR,2,2005,105,2005-04-15,106,2005-04-16,341,2005-12-07,342,2005-12-08
TR,2,2006,104,2006-04-14,106,2006-04-16,357,2006-12-23,360,2006-12-26
TR,2,2007,111,2007-04-21,112,2007-04-22,341,2007-12-07,344,2007-12-10
TR,2,2008,123,2008-05-02,126,2008-05-05,340,2008-12-05,343,2008-12-08
TR,2,2009,116,2009-04-26,117,2009-04-27,350,2009-12-16,351,2009-12-17
TR,2,2010,91,2010-04-01,92,2010-04-02,342,2010-12-08,343,2010-12-09
TR,2,2011,119,2011-04-29,120,2011-04-30,1,2012-01-01,3,2012-01-03
TR,2,2012,,,,,354,2012-12-19,355,2012-12-20
