lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"CB","1","1991","102","1991-04-12 00:00:00","105","1991-04-15 00:00:00","305","1991-11-01 00:00:00","308","1991-11-04 00:00:00"
"CB","1","1992","115","1992-04-24 00:00:00","118","1992-04-27 00:00:00","309","1992-11-04 00:00:00","311","1992-11-06 00:00:00"
"CB","1","1993","116","1993-04-26 00:00:00","118","1993-04-28 00:00:00","309","1993-11-05 00:00:00","312","1993-11-08 00:00:00"
"CB","1","1994","106","1994-04-16 00:00:00","108","1994-04-18 00:00:00","325","1994-11-21 00:00:00","327","1994-11-23 00:00:00"
"CB","1","1995","104","1995-04-14 00:00:00","107","1995-04-17 00:00:00","307","1995-11-03 00:00:00","311","1995-11-07 00:00:00"
"CB","1","1996","126","1996-05-05 00:00:00","127","1996-05-06 00:00:00","314","1996-11-09 00:00:00","316","1996-11-11 00:00:00"
"CB","1","1997","115","1997-04-25 00:00:00","116","1997-04-26 00:00:00","314","1997-11-10 00:00:00","315","1997-11-11 00:00:00"
"CB","1","1998","96","1998-04-06 00:00:00","97","1998-04-07 00:00:00","341","1998-12-07 00:00:00","342","1998-12-08 00:00:00"
"CB","1","1999","99","1999-04-09 00:00:00","102","1999-04-12 00:00:00","328","1999-11-24 00:00:00","331","1999-11-27 00:00:00"
"CB","1","2000","84","2000-03-24 00:00:00","86","2000-03-26 00:00:00","320","2000-11-15 00:00:00","322","2000-11-17 00:00:00"
"CB","1","2001","108","2001-04-18 00:00:00","110","2001-04-20 00:00:00","340","2001-12-06 00:00:00","341","2001-12-07 00:00:00"
"CB","1","2002","107","2002-04-17 00:00:00","109","2002-04-19 00:00:00","317","2002-11-13 00:00:00","318","2002-11-14 00:00:00"
"CB","1","2003","104","2003-04-14 00:00:00","106","2003-04-16 00:00:00","309","2003-11-05 00:00:00","310","2003-11-06 00:00:00"
"CB","1","2004","107","2004-04-16 00:00:00","110","2004-04-19 00:00:00","324","2004-11-19 00:00:00","327","2004-11-22 00:00:00"
"CB","1","2005","101","2005-04-11 00:00:00","102","2005-04-12 00:00:00","320","2005-11-16 00:00:00","321","2005-11-17 00:00:00"
"CB","1","2006","101","2006-04-11 00:00:00","102","2006-04-12 00:00:00","333","2006-11-29 00:00:00","334","2006-11-30 00:00:00"
"CB","1","2007","99","2007-04-09 00:00:00","102","2007-04-12 00:00:00","318","2007-11-14 00:00:00","320","2007-11-16 00:00:00"
"CB","1","2008","114","2008-04-23 00:00:00","116","2008-04-25 00:00:00","319","2008-11-14 00:00:00","322","2008-11-17 00:00:00"
"CB","1","2009","107","2009-04-17 00:00:00","110","2009-04-20 00:00:00","334","2009-11-30 00:00:00","335","2009-12-01 00:00:00"
"CB","1","2010","85","2010-03-26 00:00:00","88","2010-03-29 00:00:00","323","2010-11-19 00:00:00","326","2010-11-22 00:00:00"
"CB","1","2011","113","2011-04-23 00:00:00","115","2011-04-25 00:00:00","","","",""
"CR","1","1981","","","","","338","1981-12-04 00:00:00","345","1981-12-11 00:00:00"
"CR","1","1982","121","1982-05-01 00:00:00","123","1982-05-03 00:00:00","337","1982-12-03 00:00:00","341","1982-12-07 00:00:00"
